fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
03/11/2012 12:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2175.27332097224,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 01:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2060.78525144738,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 02:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2175.27332097224,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 03:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2404.24946002195,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 04:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2518.7375295468,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 05:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2862.20173812137,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 06:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2747.71366859651,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 07:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,3549.13015527049,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 08:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2633.22559907166,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 09:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2060.78525144738,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 10:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1831.80911239767,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
03/11/2012 11:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1831.80911239767,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 12:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 01:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1602.83297334796,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 02:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 03:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1259.3687647734,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 04:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 05:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 06:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1717.32104287282,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 07:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 08:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 09:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 10:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1144.88069524855,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 11:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1144.88069524855,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 12:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 01:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1144.88069524855,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 02:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1144.88069524855,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 03:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 04:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 05:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 06:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1602.83297334796,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 07:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1717.32104287282,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 08:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1717.32104287282,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 09:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 10:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
04/11/2012 11:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 12:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1259.3687647734,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 01:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1144.88069524855,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 02:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1144.88069524855,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 03:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,915.904556198837,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 04:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1030.39262572369,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 05:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1144.88069524855,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 06:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1144.88069524855,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 07:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1259.3687647734,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 08:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1259.3687647734,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 09:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 10:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 11:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 12:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 01:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 02:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 03:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1602.83297334796,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 04:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 05:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1373.85683429826,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 06:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 07:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1831.80911239767,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 08:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2289.76139049709,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 09:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2404.24946002195,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 10:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2518.7375295468,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
05/11/2012 11:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2289.76139049709,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 12:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2060.78525144738,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 01:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1602.83297334796,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 02:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2060.78525144738,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 03:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1831.80911239767,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 04:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1488.34490382311,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 05:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1946.29718192253,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 06:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2289.76139049709,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 07:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2747.71366859651,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 08:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,3549.13015527049,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 09:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2862.20173812137,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 10:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2175.27332097224,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 11:00:00 a. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1946.29718192253,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 12:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2404.24946002195,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 01:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2518.7375295468,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 02:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,1946.29718192253,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
06/11/2012 03:00:00 p. m.,AMVA,CEN-Tráfico Centro,Automática,6.252639,-75.569833,5,ANTIOQUIA,5001,MEDELLÍN,Fija,1,CO,µg/m3,2289.76139049709,"{'latitude': '6.252639', 'longitude': '-75.569833'}"
